link;country;load_speed;percent_success_connect;chang_ip_surf_percent;chang_ip_2ip_percent;duration_test
https://2ip.ru/;Albania;7325.67;1.00;1.00;1.00;15.00
https://2ip.ru/;Algeria;12499.00;1.00;0.67;0.67;16.00
https://2ip.ru/;Argentina;16947.00;1.00;1.00;1.00;19.00
https://2ip.ru/;Armenia;4743.33;1.00;0.67;0.67;15.00
https://2ip.ru/;Australia Adelaide;16824.67;1.00;1.00;1.00;18.00
https://2ip.ru/;Australia Brisbane;17714.00;1.00;0.33;0.33;17.00
https://2ip.ru/;Australia Melbourne;16147.33;1.00;1.00;1.00;18.00
https://2ip.ru/;Australia Perth;17376.67;1.00;1.00;1.00;17.00
https://2ip.ru/;Australia Sydney;16587.00;1.00;1.00;1.00;18.00
https://2ip.ru/;Austria;6568.00;1.00;1.00;1.00;14.00
https://2ip.ru/;Bahamas;13779.00;1.00;0.33;0.33;19.00
https://2ip.ru/;Belgium Antwerp;6683.00;1.00;1.00;1.00;13.00
https://2ip.ru/;Belgium Brussels;6537.67;1.00;1.00;1.00;16.00
https://2ip.ru/;Belize;15265.33;1.00;0.33;0.33;17.00
https://2ip.ru/;Bhutan;16211.67;1.00;0.33;0.33;17.00
https://2ip.ru/;Bolivia;15892.00;1.00;0.67;0.33;16.00
https://2ip.ru/;Bosnia and Herzegovina;6195.00;0.00;1.00;0.33;18.00
https://2ip.ru/;Brazil;14863.00;1.00;1.00;1.00;17.00
https://2ip.ru/;Brunei;9313.67;0.00;0.67;0.33;17.00
https://2ip.ru/;Bulgaria;7279.67;1.00;1.00;1.00;14.00
https://2ip.ru/;Cambodia;16359.33;1.00;0.33;0.33;17.00
https://2ip.ru/;Canada Montreal;9197.33;1.00;1.00;1.00;14.00
https://2ip.ru/;Canada Toronto;9599.00;1.00;1.00;1.00;18.00
https://2ip.ru/;Canada Vancouver;11136.00;1.00;0.33;0.33;15.00
https://2ip.ru/;Chile;13646.67;1.00;0.33;0.33;18.00
https://2ip.ru/;Colombia;14626.00;1.00;1.00;1.00;17.00
https://2ip.ru/;Costa Rica;15455.33;1.00;0.67;0.33;17.00
https://2ip.ru/;Croatia;7097.33;1.00;1.00;1.00;16.00
https://2ip.ru/;Cyprus;9939.33;1.00;1.00;1.00;16.00
https://2ip.ru/;Czech Republic;6128.00;1.00;1.00;1.00;16.00
https://2ip.ru/;Denmark;6892.00;1.00;1.00;1.00;15.00
https://2ip.ru/;Ecuador;14933.00;1.00;0.67;0.33;18.00
https://2ip.ru/;Egypt;6676.33;0.00;0.67;0.33;17.00
https://2ip.ru/;Estonia;5111.00;1.00;1.00;1.00;14.00
https://2ip.ru/;Finland;6483.33;1.00;1.00;1.00;16.00
https://2ip.ru/;France Bordeaux;7026.00;1.00;1.00;1.00;14.00
https://2ip.ru/;France Marseille;7003.67;1.00;1.00;1.00;15.00
https://2ip.ru/;France Paris;6142.33;1.00;1.00;1.00;16.00
https://2ip.ru/;Georgia;6451.33;1.00;0.67;0.33;15.00
https://2ip.ru/;Germany Berlin;5195.67;1.00;1.00;1.00;13.00
https://2ip.ru/;Germany Frankfurt am Main;6109.00;1.00;1.00;1.00;14.00
https://2ip.ru/;Ghana;9780.67;1.00;1.00;0.33;16.00
https://2ip.ru/;Greece;9399.33;1.00;1.00;1.00;16.00
https://2ip.ru/;Greenland;6115.00;1.00;0.33;0.33;13.00
https://2ip.ru/;Hong Kong;24012.33;1.00;1.00;1.00;40.00
https://2ip.ru/;Hungary;8081.67;1.00;0.67;1.00;15.00
https://2ip.ru/;Iceland;7885.00;1.00;1.00;1.00;15.00
https://2ip.ru/;India;9781.00;1.00;1.00;1.00;14.00
https://2ip.ru/;Indonesia;9807.67;1.00;0.67;0.67;16.00
https://2ip.ru/;Ireland;6601.67;1.00;1.00;1.00;16.00
https://2ip.ru/;Isle of Man;6240.00;1.00;0.67;0.33;14.00
https://2ip.ru/;Israel;8720.33;1.00;0.67;0.67;15.00
https://2ip.ru/;Italy Milan;6439.67;1.00;1.00;1.00;15.00
https://2ip.ru/;Italy Rome;6624.33;1.00;1.00;1.00;14.00
https://2ip.ru/;Japan;16166.67;1.00;1.00;1.00;19.00
https://2ip.ru/;Kazakhstan;11233.67;1.00;0.67;1.00;16.00
https://2ip.ru/;Laos;11059.67;0.00;0.33;0.33;18.00
https://2ip.ru/;Latvia;7437.00;1.00;1.00;1.00;16.00
https://2ip.ru/;Liechtenstein;5603.33;1.00;0.33;0.33;15.00
https://2ip.ru/;Lithuania;7446.33;1.00;1.00;1.00;16.00
https://2ip.ru/;Luxembourg;11816.00;1.00;1.00;1.00;16.00
https://2ip.ru/;Malaysia;13827.33;1.00;1.00;1.00;15.00
https://2ip.ru/;Malta;16555.00;1.00;0.67;0.33;17.00
https://2ip.ru/;Marocco;5901.33;1.00;0.67;0.33;13.00
https://2ip.ru/;Mexico;17963.33;1.00;0.67;0.67;17.00
https://2ip.ru/;Moldova;8246.67;1.00;0.67;0.33;14.00
https://2ip.ru/;Monaco;6338.00;1.00;0.67;0.67;16.00
https://2ip.ru/;Mongolia;7605.67;0.67;0.67;0.33;17.00
https://2ip.ru/;Montenegro;7218.33;1.00;0.67;0.33;14.00
https://2ip.ru/;Myanmar;3098.67;0.00;0.33;0.33;18.00
https://2ip.ru/;Netherlands;5551.67;1.00;1.00;1.00;14.00
https://2ip.ru/;New Zealand;16504.00;1.00;1.00;1.00;19.00
https://2ip.ru/;Nigeria;5699.67;1.00;0.33;0.33;15.00
https://2ip.ru/;North Macedonia;7674.33;1.00;0.67;0.67;17.00
https://2ip.ru/;Norway;7647.33;1.00;1.00;1.00;15.00
